,id,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
13058,4365200555,20141219T000000,3,2.5,1670,7740,1.0,0,0,3,7,1130,540,1974,0,98126,47.5222,-122.37,1220,7740
12080,3211100990,20141020T000000,4,2.75,2220,8450,1.0,0,0,4,7,1260,960,1983,0,98059,47.4804,-122.157,1580,8450
7417,8665900328,20150123T000000,4,3.0,1900,9077,2.0,0,0,3,7,1900,0,1954,2015,98155,47.7684,-122.304,1900,12868
3101,84000245,20141120T000000,3,1.75,1100,9452,1.0,0,0,3,6,1100,0,1942,0,98146,47.4864,-122.337,1350,9452
18769,8917100153,20140910T000000,4,2.5,2370,15200,1.0,0,0,3,8,1660,710,1975,0,98052,47.6295,-122.089,2360,13879
7332,4310700020,20141010T000000,3,1.0,1100,5132,1.0,0,0,3,6,840,260,1948,0,98103,47.7011,-122.336,1280,5132
19186,2239000011,20150127T000000,4,2.0,1530,7816,1.0,0,0,3,7,1530,0,1955,0,98133,47.7309,-122.332,1480,7816
11875,9567800435,20150513T000000,4,1.75,1640,7194,1.5,0,0,4,7,1480,160,1915,0,98011,47.7649,-122.205,1440,9405
14100,7784400035,20140813T000000,2,1.75,2110,8700,1.0,0,4,4,9,1760,350,1960,0,98146,47.4912,-122.365,2120,9500
10641,5652600069,20140917T000000,3,1.5,1690,6010,1.0,0,0,3,7,1230,460,1946,0,98115,47.6955,-122.291,1690,5418
8163,1724069079,20150319T000000,2,3.25,2070,3128,2.0,1,3,3,9,1760,310,1988,0,98075,47.5686,-122.06,2740,3568
3254,2917200645,20150511T000000,4,1.75,2020,6200,1.0,0,0,4,6,1010,1010,1948,0,98133,47.7013,-122.35,1440,4158
17936,2822069080,20141121T000000,4,2.5,2560,43560,2.0,0,0,3,8,2560,0,1989,0,98038,47.3692,-122.047,2130,10150
19981,1489300215,20141013T000000,4,3.25,3330,9000,2.0,0,0,3,9,2870,460,2004,0,98033,47.6836,-122.208,2550,6349
2474,9346700270,20150302T000000,4,2.25,3070,13720,2.0,0,0,3,9,3070,0,1978,0,98007,47.6133,-122.152,3010,9657
1710,7634800070,20150116T000000,3,2.5,1820,16300,1.0,0,0,4,7,1220,600,1955,0,98166,47.4582,-122.365,1870,16300
19769,6781200013,20140507T000000,3,1.5,1260,1270,2.0,0,0,3,7,1040,220,2005,0,98133,47.7111,-122.331,1260,1472
18934,7760400900,20140916T000000,4,2.5,2040,8076,2.0,0,0,3,7,2040,0,1994,0,98042,47.3691,-122.074,2040,8408
2371,3623029045,20140925T000000,3,1.75,2600,105587,1.0,0,0,4,7,1300,1300,1980,0,98070,47.4464,-122.497,1941,208438
17614,2407000405,20150226T000000,3,1.0,1080,7486,1.5,0,0,3,6,990,90,1942,0,98146,47.4838,-122.335,1170,7800
9038,1526300015,20140612T000000,3,1.0,1180,11862,1.0,0,0,4,7,1180,0,1948,0,98177,47.7153,-122.363,1540,8100
17296,4047200825,20141011T000000,1,1.0,1390,60984,1.0,0,0,3,6,1390,0,1960,0,98019,47.7652,-121.903,1620,24225
17760,1624049228,20141124T000000,4,1.0,2410,6975,1.0,0,0,3,7,1510,900,1957,0,98108,47.5692,-122.295,1880,6255
13234,752000035,20140520T000000,4,2.5,2650,7945,2.0,0,0,3,9,2650,0,2006,0,98125,47.7113,-122.296,1200,7920
12123,2141330700,20140522T000000,4,2.25,2350,8140,1.0,0,0,4,8,1430,920,1977,0,98006,47.5579,-122.129,2640,8700
2682,2547200240,20140622T000000,4,2.5,2370,10083,2.0,0,0,5,8,2370,0,1966,0,98033,47.6715,-122.166,2370,10133
15801,2044500213,20140617T000000,4,2.0,1870,6000,1.5,0,0,3,7,1870,0,1956,0,98125,47.7155,-122.315,1520,7169
14529,5469502060,20141009T000000,4,2.5,3140,12792,2.0,0,0,4,9,3140,0,1977,0,98042,47.3863,-122.156,2510,12792
3522,4083301645,20141024T000000,3,1.0,1550,6840,1.5,0,0,3,7,1550,0,1918,0,98103,47.6572,-122.335,2370,4560
6602,1762600190,20141229T000000,4,2.5,3170,47502,2.0,0,0,3,10,3170,0,1988,0,98033,47.6495,-122.185,3190,35110
5485,8645501330,20150421T000000,3,1.5,1420,7480,1.0,0,0,4,7,1420,0,1963,0,98058,47.4651,-122.184,1720,7700
15146,7961500010,20140806T000000,3,2.25,2210,10794,1.0,0,0,3,7,1540,670,1967,0,98178,47.4911,-122.224,2230,10753
69,1802000060,20140612T000000,5,2.25,3200,20158,1.0,0,0,3,8,1600,1600,1965,0,98004,47.6303,-122.215,3390,20158
6502,9407102360,20140616T000000,3,1.75,1150,9600,1.0,0,0,3,7,1150,0,1979,0,98045,47.4434,-121.774,1520,9976
12924,3636800180,20150123T000000,4,2.5,3510,24604,2.0,0,0,3,10,3510,0,1997,0,98053,47.6772,-122.056,3530,26673
3311,7977201910,20150414T000000,3,1.0,1330,5100,1.0,0,0,3,7,900,430,1942,0,98115,47.6837,-122.291,1500,5100
20543,3654200039,20150325T000000,3,2.25,1530,1279,2.0,0,0,3,7,1116,414,2007,0,98177,47.7035,-122.357,1320,1427
6529,7844200050,20140522T000000,5,2.25,2000,7900,1.0,0,0,4,7,1300,700,1986,0,98188,47.4291,-122.292,2000,9132
16875,1934800022,20140723T000000,3,1.0,1280,3200,1.5,0,0,3,7,1280,0,1903,0,98122,47.6029,-122.307,1320,1676
8999,1556200265,20140723T000000,3,2.25,2700,4025,2.0,0,0,4,8,1760,940,1907,0,98122,47.6074,-122.294,1580,4025
20277,1773100561,20150305T000000,3,2.5,1250,1150,2.0,0,0,3,8,1080,170,2009,0,98106,47.5582,-122.363,1250,1150
16896,6752600050,20140812T000000,4,2.5,2070,7007,2.0,0,0,3,7,2070,0,1996,0,98031,47.3968,-122.171,2130,8100
18559,7525100590,20150406T000000,2,2.0,1350,2560,1.0,0,0,4,8,1350,0,1974,0,98052,47.6338,-122.106,1800,2560
17103,2112700185,20150325T000000,3,2.5,3110,6000,1.0,0,2,3,8,1560,1550,1967,0,98106,47.5331,-122.353,2060,6000
13768,6699300330,20150513T000000,5,2.5,2840,6010,2.0,0,0,3,8,2840,0,2003,0,98001,47.3161,-122.27,2740,5509
11207,191100672,20140527T000000,4,3.75,3160,9525,2.5,0,0,3,10,3160,0,1997,0,98040,47.5623,-122.221,2400,9525
20348,2781240050,20150507T000000,3,2.0,1640,4714,1.0,0,0,3,8,1640,0,2009,0,98038,47.3539,-122.021,1770,4802
15356,6433000050,20140821T000000,4,1.75,2740,10086,1.0,0,0,3,7,1440,1300,1972,0,98168,47.5112,-122.329,1710,9840
5293,3856900507,20140512T000000,4,3.5,3460,3997,2.0,0,0,3,10,2560,900,2004,0,98103,47.6718,-122.329,1860,4000
11483,7806210400,20140929T000000,5,1.75,1970,8925,1.0,0,0,5,7,1170,800,1977,0,98002,47.2925,-122.196,1910,8025
15460,1446110020,20140910T000000,5,3.5,3672,9742,2.0,0,0,3,9,3006,666,2006,0,98092,47.3255,-122.192,2140,9118
8207,3448001285,20140818T000000,4,2.0,1540,5920,1.5,0,0,5,7,1540,0,1935,0,98125,47.7148,-122.301,1630,6216
16704,2877102330,20140516T000000,4,2.5,2110,3750,2.0,0,0,3,8,2110,0,2000,0,98117,47.6789,-122.363,1700,5000
20306,9144100007,20140604T000000,3,2.0,1630,7599,1.0,0,0,3,10,1630,0,2006,0,98117,47.6981,-122.376,2030,7599
1878,4403600240,20150113T000000,4,2.25,3190,52953,2.0,0,0,4,10,3190,0,1980,0,98075,47.5933,-122.075,3190,51400
14642,3530210180,20140723T000000,4,3.0,4480,42717,2.0,0,0,3,9,4480,0,1987,0,98077,47.7711,-122.088,3140,41632
15039,2726049034,20141110T000000,3,3.25,2610,16387,2.0,1,4,3,9,2610,0,2006,0,98125,47.7175,-122.278,2590,12958
11576,2473510260,20140623T000000,5,2.5,3390,9760,1.0,0,0,5,8,1750,1640,1978,0,98058,47.4462,-122.137,2360,9600
14519,1233100366,20141215T000000,3,1.5,1680,17409,1.0,0,0,3,7,1680,0,1962,0,98033,47.6766,-122.176,1680,9101
7709,8079100210,20150304T000000,4,2.5,2130,9139,2.0,0,0,3,9,2130,0,1988,0,98029,47.5648,-122.01,2150,8178
1172,8956000350,20140903T000000,3,2.5,2010,3667,2.0,0,0,3,9,2010,0,2008,0,98027,47.545,-122.015,2350,3600
3864,9275702350,20141222T000000,3,1.5,2390,4452,2.0,0,1,3,9,1790,600,1929,0,98126,47.5826,-122.378,2610,5000
12826,3025059072,20140725T000000,4,2.5,3910,22710,1.5,0,0,3,8,3910,0,1908,2003,98004,47.6295,-122.217,2920,16544
20727,522079068,20150506T000000,3,2.5,2150,161607,2.0,0,0,3,7,1330,820,1995,0,98038,47.4178,-121.937,2400,207781
13970,9324800220,20140917T000000,4,2.5,2070,8127,1.5,0,0,3,9,1590,480,1924,2003,98125,47.7316,-122.289,2050,8131
4747,7254000100,20141215T000000,3,2.5,2060,2551,2.0,0,0,3,8,1900,160,2001,0,98005,47.5881,-122.165,2060,2936
10685,7326200030,20150413T000000,3,2.25,1550,5401,2.0,0,0,3,7,1550,0,2000,0,98019,47.737,-121.967,1740,4485
10631,323089159,20141003T000000,3,1.75,1340,13115,1.0,0,0,3,7,1340,0,1978,0,98045,47.5021,-121.77,1370,10800
7437,6844700415,20150316T000000,4,2.25,1750,6120,1.0,0,0,3,7,1150,600,1962,0,98115,47.6958,-122.29,1350,6120
14533,5145100180,20140917T000000,3,1.0,1150,7486,1.0,0,0,3,7,1150,0,1970,0,98034,47.7261,-122.219,1510,7486
9253,853600150,20140524T000000,4,4.25,5584,68257,2.0,0,0,3,11,5584,0,1998,0,98014,47.6113,-121.952,5030,101901
16150,7853230460,20150403T000000,3,2.5,2690,4819,2.0,0,0,3,7,2690,0,2004,0,98065,47.5302,-121.849,2360,4829
807,6067900060,20140605T000000,3,2.75,2390,9966,1.0,0,0,5,8,1360,1030,1977,0,98006,47.5433,-122.185,2140,10713
6723,5700002125,20140610T000000,4,1.75,2320,4322,1.0,0,0,3,7,1140,1180,1910,0,98144,47.5755,-122.289,1820,4322
20295,251500080,20140826T000000,4,4.0,4810,18851,2.0,0,3,3,11,4810,0,2007,0,98004,47.6364,-122.214,3970,19929
88,1332700270,20140519T000000,2,2.25,1610,2040,2.0,0,0,4,7,1610,0,1979,0,98056,47.518,-122.194,1950,2025
4658,1036400110,20140702T000000,3,2.25,2080,12134,1.0,0,0,4,8,1530,550,1973,0,98052,47.6315,-122.102,2320,12400
7455,7214780050,20150420T000000,4,2.5,2710,49044,2.0,0,0,3,9,2710,0,1988,0,98077,47.774,-122.08,2560,38190
6582,2273600460,20150130T000000,3,1.75,1530,8503,1.0,0,0,4,7,1150,380,1983,0,98033,47.6872,-122.185,1610,8549
5603,7224000545,20140825T000000,4,3.0,2130,4838,1.5,0,0,4,7,2130,0,1930,0,98055,47.4871,-122.203,1070,4838
6813,806000020,20150310T000000,3,1.5,1200,9120,1.0,0,0,3,7,1000,200,1963,0,98055,47.4545,-122.187,1640,9200
927,1109000390,20150310T000000,3,1.5,2390,4600,2.0,0,0,3,8,1750,640,1920,1995,98118,47.5383,-122.268,1690,5220
21048,7853420450,20140519T000000,4,2.5,2500,4945,2.0,0,0,3,9,2500,0,2013,0,98065,47.5185,-121.885,2760,6000
5829,9359100500,20140527T000000,4,3.25,4060,13000,2.0,0,3,3,11,4060,0,2000,0,98040,47.581,-122.246,3220,13800
5488,9533600185,20150401T000000,3,1.75,1700,8534,1.0,0,0,4,7,1700,0,1953,0,98004,47.6276,-122.205,2100,10443
14117,2473530150,20150323T000000,4,2.5,2430,6796,2.0,0,0,3,8,2430,0,1993,0,98058,47.4499,-122.127,2450,8400
3181,2329810590,20140806T000000,3,2.5,1940,9874,2.0,0,0,3,7,1940,0,1990,0,98042,47.3794,-122.113,1860,8875
16217,6073500190,20140821T000000,2,2.25,2210,5500,1.0,0,0,4,8,1410,800,1968,0,98117,47.697,-122.39,2140,6600
5925,7950300670,20150218T000000,2,1.0,1120,4590,1.0,0,0,3,7,1120,0,1924,0,98118,47.5663,-122.285,1120,5100
17918,1670400068,20140618T000000,2,1.5,1820,8867,2.0,0,0,3,7,1820,0,1921,0,98168,47.4764,-122.269,1430,9288
8743,6126601445,20140530T000000,3,1.75,1920,5405,1.0,0,2,4,7,960,960,1947,0,98126,47.5583,-122.38,1190,5405
1341,4139440830,20140603T000000,5,2.75,3040,10257,2.0,0,0,3,10,3040,0,1993,0,98006,47.5531,-122.119,2860,9327
14449,7686204675,20150129T000000,4,1.0,1010,7515,1.0,0,0,4,6,1010,0,1955,0,98198,47.4174,-122.316,1330,7515
16010,4305600250,20141027T000000,4,2.5,3000,5471,2.0,0,0,3,8,3000,0,2013,0,98059,47.4797,-122.126,2730,5471
10333,1786630160,20140711T000000,4,2.5,2490,5812,2.0,0,0,3,8,2490,0,2000,0,98042,47.3875,-122.155,2690,6012
11953,7701950060,20140729T000000,4,2.5,3160,39960,1.0,0,0,3,10,3160,0,1980,0,98005,47.6418,-122.157,3900,36444
11420,7202290320,20141024T000000,3,2.5,1600,3172,2.0,0,0,3,7,1600,0,2002,0,98053,47.6868,-122.042,1690,3698
15209,923000413,20140818T000000,4,1.5,1740,8160,1.5,0,0,4,7,1400,340,1946,0,98177,47.7243,-122.363,1600,8160
19143,9468200175,20141114T000000,3,2.0,1660,3600,1.0,0,0,3,7,1000,660,1939,2006,98103,47.6789,-122.351,1700,4356
21596,7502800100,20140813T000000,5,2.75,3600,9437,2.0,0,0,3,9,3600,0,2014,0,98059,47.4822,-122.131,3550,9421
20282,3356402705,20150317T000000,4,2.5,1847,8000,2.0,0,0,3,7,1847,0,2008,0,98001,47.2874,-122.257,1767,8000
3358,7212650850,20150427T000000,3,2.5,1710,6773,2.0,0,0,3,8,1710,0,1993,0,98003,47.2635,-122.312,2220,7551
9747,3157600340,20140917T000000,3,1.0,1160,3700,1.5,0,0,3,7,1160,0,1909,0,98106,47.5651,-122.359,1340,3750
156,6388930390,20141120T000000,5,3.5,3960,25245,2.0,0,0,3,9,2500,1460,1996,0,98056,47.525,-122.172,2640,13675
8766,9828702513,20140506T000000,2,2.25,1230,929,2.0,0,0,3,8,1020,210,2004,0,98122,47.6191,-122.301,1270,1370
19247,8857600220,20141023T000000,3,1.0,1200,8470,1.0,0,0,5,7,1200,0,1961,0,98032,47.3864,-122.287,1200,7952
7338,2970800130,20141009T000000,3,1.0,810,5240,1.0,0,0,3,6,810,0,1942,0,98166,47.4734,-122.35,1700,5245
1086,9834200885,20150420T000000,4,2.5,2080,4080,1.0,0,0,5,7,1040,1040,1962,0,98144,47.572,-122.29,1340,4080
4706,4319200820,20150122T000000,3,1.0,950,5214,1.0,0,0,3,7,830,120,1944,0,98126,47.5362,-122.379,1490,7636
2400,3336000791,20150407T000000,3,1.0,950,4500,1.0,0,0,4,6,950,0,1943,0,98118,47.5273,-122.265,1140,4500
3856,8556800100,20150121T000000,4,2.5,2880,23994,2.0,0,3,3,9,2880,0,2002,0,98022,47.2124,-122.005,2470,17009
7229,5249802660,20140730T000000,3,1.0,980,4800,1.5,0,0,3,7,980,0,1926,0,98118,47.5663,-122.274,2030,7200
2534,3996900295,20141214T000000,2,1.0,1140,8340,1.0,0,0,3,7,1140,0,1948,0,98155,47.7448,-122.3,1030,8149
10066,1898700310,20140505T000000,4,1.5,1240,9600,1.0,0,0,3,7,1240,0,1971,0,98023,47.3206,-122.397,1240,9592
3539,3541600405,20150127T000000,5,2.5,2140,15950,1.0,0,2,4,8,1370,770,1968,0,98166,47.4797,-122.358,2600,14273
14601,2501600150,20150310T000000,4,2.0,1760,7700,1.0,0,0,4,7,1760,0,1962,0,98003,47.3299,-122.318,1870,7316
6078,2781100080,20141210T000000,4,2.5,2740,5700,2.0,0,0,3,9,2740,0,2006,0,98038,47.3535,-122.026,3010,5281
5147,5595900280,20150318T000000,3,1.0,1050,7670,1.5,0,0,5,7,1050,0,1955,0,98022,47.2046,-121.996,1220,7670
11044,9407001620,20140812T000000,3,2.5,1370,22326,2.0,0,0,3,7,1370,0,1993,0,98045,47.4469,-121.775,1580,10920
3273,8651500850,20150317T000000,4,1.75,2010,12044,1.0,0,0,3,9,2010,0,1982,0,98074,47.6446,-122.068,2200,11144
11582,9485950340,20150319T000000,3,2.25,2800,35362,2.0,0,0,3,9,2800,0,1985,0,98042,47.3507,-122.089,2800,37058
2239,6648701420,20150213T000000,4,2.0,1450,8175,1.0,0,0,4,7,1450,0,1967,0,98031,47.3933,-122.195,1570,9024
17205,4139440480,20141201T000000,3,2.75,2590,12063,2.0,0,0,3,10,2590,0,1993,0,98006,47.5527,-122.12,2850,8469
18406,740500040,20141001T000000,4,1.0,1860,8505,1.0,0,0,4,7,1860,0,1955,0,98055,47.4406,-122.194,1560,8505
17343,1312930250,20140528T000000,3,1.75,1310,9645,1.0,0,0,3,7,1310,0,1979,0,98198,47.4051,-122.29,1440,9893
20670,8564860270,20150330T000000,4,2.5,2680,5539,2.0,0,0,3,8,2680,0,2013,0,98045,47.4759,-121.734,2680,5992
13890,2826049197,20140804T000000,4,2.5,3000,8100,2.0,0,0,3,8,3000,0,1992,0,98125,47.7151,-122.305,1550,8100
10211,1921059235,20140620T000000,4,2.5,1960,11600,1.0,0,0,5,6,980,980,1931,0,98002,47.2898,-122.222,1160,7685
20167,9578060660,20140513T000000,4,2.5,2040,5616,2.0,0,0,3,8,2040,0,2012,0,98028,47.7737,-122.238,2380,4737
20900,3626039424,20140616T000000,3,2.25,1200,1400,3.0,0,0,3,8,1200,0,2005,0,98133,47.7046,-122.357,1370,6552
20619,7203180370,20150324T000000,4,3.25,3720,6765,2.0,0,0,3,9,3720,0,2012,0,98053,47.688,-122.018,3100,6790
1741,1843100070,20150210T000000,4,2.75,2610,8967,2.0,0,0,4,8,2610,0,1990,0,98042,47.3747,-122.124,2390,7852
21454,4310702838,20150427T000000,3,1.5,1290,1213,3.0,0,0,3,8,1290,0,2007,0,98103,47.6965,-122.34,1360,1227
11510,4136880140,20140522T000000,4,2.75,2570,7264,2.0,0,0,3,8,1720,850,1998,0,98092,47.258,-122.208,2420,7911
11775,2892700041,20140714T000000,3,1.5,1370,7439,1.0,0,0,4,6,1370,0,1963,0,98055,47.4499,-122.189,2350,3370
886,2110200036,20141111T000000,5,3.25,2400,3118,2.0,0,0,4,7,1780,620,1928,0,98122,47.6094,-122.291,2100,3941
7378,7849201100,20150217T000000,3,1.0,1590,7759,2.0,0,0,4,7,1590,0,1912,1984,98065,47.5217,-121.819,1600,7200
5954,7852020250,20140602T000000,4,2.5,3190,7869,2.0,0,2,3,9,3190,0,2001,0,98065,47.5317,-121.866,2630,6739
10589,6413600192,20150427T000000,2,1.5,940,1222,2.0,0,0,3,7,860,80,2004,0,98125,47.7178,-122.318,1302,1840
20714,7338220200,20150408T000000,4,2.5,2150,3721,2.0,0,0,3,8,2150,0,2007,0,98002,47.3363,-122.215,2150,3721
4969,2473350470,20150511T000000,3,1.5,1440,7875,1.0,0,0,4,8,1440,0,1968,0,98058,47.4561,-122.148,1800,8964
14822,3623500408,20150330T000000,3,3.0,3410,16015,2.0,1,4,4,10,2220,1190,1973,0,98040,47.5721,-122.239,3760,16572
12730,5680000455,20141117T000000,4,2.75,2870,7200,2.0,0,0,3,9,2870,0,2008,0,98108,47.5688,-122.317,2030,5400
16159,2391602500,20140515T000000,3,2.5,1840,2875,2.0,0,0,4,7,1840,0,1997,0,98116,47.562,-122.393,1240,5750
11422,8682310310,20150511T000000,2,2.0,1850,4667,1.0,0,0,3,8,1850,0,2010,0,98053,47.7101,-122.014,1860,6008
2942,3512100110,20140902T000000,4,2.75,2170,9658,1.5,0,0,3,7,2170,0,1966,0,98030,47.3741,-122.189,1490,9731
19137,3388110230,20140729T000000,4,1.75,1790,7175,1.5,0,0,3,6,1410,380,1900,0,98168,47.4963,-122.318,1790,8417
20811,1825079046,20141218T000000,3,2.5,1820,374616,2.0,0,0,3,7,1820,0,1999,0,98014,47.6539,-121.959,1870,220654
5173,5205000250,20150410T000000,3,2.5,2320,7140,2.0,0,0,3,8,2320,0,1990,0,98003,47.275,-122.295,2360,7955
15463,8019201061,20150115T000000,3,2.0,1090,8400,1.0,0,0,4,6,1090,0,1961,0,98168,47.4942,-122.322,1100,10850
19358,3342700610,20140728T000000,4,1.75,1690,10854,1.0,0,0,3,7,1690,0,1977,0,98056,47.5241,-122.199,2390,7000
9904,2215900800,20140731T000000,3,2.5,2000,7414,2.0,0,0,4,7,2000,0,1993,0,98038,47.3508,-122.057,2000,7414
20997,626059365,20150412T000000,3,3.5,3200,10344,2.0,0,0,3,10,3200,0,2007,0,98011,47.7636,-122.216,2550,20152
2008,1112000125,20140930T000000,1,1.0,1090,8750,1.0,0,0,4,6,1090,0,1924,0,98118,47.54,-122.269,1830,5000
5211,1868900675,20140912T000000,4,2.75,2640,4000,2.0,0,0,5,8,1730,910,1925,0,98115,47.6727,-122.297,1530,3740
14684,5253300173,20141022T000000,3,1.0,1160,8950,1.0,0,0,3,7,1160,0,1968,0,98133,47.7499,-122.338,1210,8193
5328,254000545,20141023T000000,4,2.5,1620,5280,2.0,0,0,4,7,1620,0,1924,1971,98146,47.5132,-122.384,1590,5280
20326,1725059127,20150225T000000,6,4.25,5550,11547,2.0,0,2,3,11,4270,1280,2014,0,98033,47.6547,-122.202,3480,11547
8570,8651410740,20150219T000000,3,1.0,860,5200,1.0,0,0,5,6,860,0,1969,0,98042,47.3677,-122.078,1010,5200
19561,6799300150,20140903T000000,4,2.25,1800,4500,2.0,0,0,4,8,1800,0,2004,0,98031,47.394,-122.183,2010,5050
18856,7327902612,20150513T000000,2,1.0,930,4000,1.0,0,0,3,6,730,200,1943,0,98108,47.5321,-122.323,1100,5000
17416,7227501190,20150427T000000,3,1.0,1220,5038,1.0,0,0,5,6,1220,0,1942,0,98056,47.496,-122.189,1140,5038
7171,2591850080,20140630T000000,4,2.5,2290,11173,2.0,0,0,4,8,2290,0,1988,0,98058,47.4314,-122.164,2290,10404
21291,7853320250,20140920T000000,3,2.5,2410,4656,2.0,0,0,3,7,2410,0,2009,0,98065,47.5203,-121.874,2410,4840
12980,1443500120,20150407T000000,2,1.0,750,5379,1.0,0,0,3,6,750,0,1919,0,98118,47.5324,-122.272,1030,5511
10262,1796360340,20140722T000000,3,2.0,1660,8641,2.0,0,0,4,8,1660,0,1987,0,98042,47.3663,-122.088,1490,8641
15951,9900000190,20141030T000000,3,1.0,1320,8100,1.0,0,0,3,6,880,440,1943,0,98166,47.4697,-122.351,1000,8100
6930,1824079073,20150331T000000,5,4.25,4650,108464,2.0,0,0,3,10,3260,1390,1999,0,98024,47.5669,-121.956,2810,155509
20096,3262300485,20150421T000000,5,5.25,3410,8118,2.0,0,0,3,11,3410,0,2006,0,98039,47.6295,-122.236,3410,16236
13489,1426079047,20140911T000000,3,2.25,2520,212137,2.0,0,0,3,9,1590,930,2005,0,98019,47.7384,-121.878,2000,212137
7055,3329530480,20140701T000000,3,2.0,1770,7000,1.0,0,0,3,7,1770,0,1986,0,98001,47.3321,-122.261,1510,10462
12954,3331001165,20140926T000000,3,1.0,820,5150,1.0,0,0,5,6,820,0,1918,0,98118,47.5514,-122.284,1100,5150
7005,3438500797,20140708T000000,4,1.75,2100,11942,1.0,0,0,3,7,1030,1070,1964,0,98106,47.55,-122.356,1170,6986
13074,7129304225,20150108T000000,4,2.25,2340,5250,2.0,0,0,5,7,2340,0,1965,0,98118,47.5183,-122.266,1540,5250
6184,3905010010,20140718T000000,4,2.5,2500,8540,2.0,0,0,3,9,2500,0,1990,0,98029,47.5759,-121.994,2560,8475
12978,223039229,20140902T000000,2,2.5,2390,6928,2.0,0,3,4,8,1810,580,1949,1982,98146,47.5101,-122.391,2390,12852
10326,6031400013,20140616T000000,3,1.5,1230,8056,1.0,0,0,4,6,1230,0,1949,0,98168,47.4878,-122.314,850,6714
15503,2472920780,20141126T000000,4,2.5,2250,6840,2.0,0,0,3,9,2250,0,1987,0,98058,47.4398,-122.151,2480,7386
8531,293720180,20141230T000000,3,2.5,1980,4274,2.0,0,0,3,7,1980,0,2003,0,98028,47.7767,-122.239,2000,4394
5466,6061000010,20150504T000000,4,2.75,2230,50094,1.0,0,2,4,7,1330,900,1977,0,98092,47.2576,-122.099,2230,40770
21559,3438501329,20140520T000000,2,2.5,1590,2656,2.0,0,0,3,7,1220,370,2009,0,98106,47.5489,-122.364,1590,2306
9832,1245002445,20140714T000000,2,1.75,1650,7500,1.0,0,0,4,7,1000,650,1959,0,98033,47.6871,-122.207,2530,9000
16687,1588600177,20150225T000000,4,1.0,1040,4420,1.5,0,0,3,6,1040,0,1944,0,98117,47.6945,-122.368,1310,4920
